#,First name,Last name,Code,Gender,School code,DOB
1,Katalin,Beran,9163197693,Male,SC07,2000-05-08
2,Cory,Cunio,362775435,Female,SC05,2001-09-05
3,Barnie,Minger,7723193092,Female,SC06,2009-11-25
4,Patty,McAuley,9980011920,Female,SC04,2003-09-28
5,Jillane,Currell,2605472574,Male,SC08,2009-10-24
6,Cheslie,Redholls,2130084109,Male,SC06,2004-06-27
7,Olympia,Krug,6225450408,Male,SC06,2000-05-08
8,Eadie,Ridge,8168548108,Male,SC03,2002-11-09
9,Cassius,Vango,4311523297,Female,SC04,2008-01-21
10,Erich,Frail,363939407,Female,SC06,2001-10-10
