#,First name,Last name,Code,Gender,School code,DOB
1,Marjorie,Cassey,3298804924,Female,SC06,2005-03-10
2,Kelsey,Glennon,9558714216,Male,SC03,2002-01-15
3,Rockey,Pelchat,4262770885,Male,SC04,2004-12-27
4,Kimbell,Lambe,7820323531,Male,SC05,2002-02-01
5,Jeanie,Friday,1610889185,Female,SC04,2003-10-27
6,Cairistiona,McCutheon,8166437473,Female,SC04,2007-11-18
7,Christiane,Delbergue,2796343227,Female,SC02,2002-03-14
8,Randee,Suddock,1134328915,Female,SC07,2006-05-11
9,Melvyn,Sumption,0839583842,Male,SC07,2004-12-16
10,Kim,Brobeck,7526527923,Male,SC05,2007-05-26
11,Madelaine,Ibel,7606401519,Female,SC03,2007-03-20
12,Kimbell,Scanlon,1142928241,Male,SC07,2005-12-02
13,Gonzalo,Vaskin,5576834887,Male,SC05,2001-02-21
14,Nikki,Hiley,5917634742,Female,SC06,2007-09-17
15,Duff,Farron,0912147911,Male,SC08,2007-06-15
16,Verne,Baszniak,8184522541,Male,SC03,2000-11-04
17,Cori,Birkby,7483792612,Male,SC02,2007-08-07
18,Libby,Shucksmith,9370665536,Female,SC02,2009-05-06
19,Janith,Batchley,9314956407,Female,SC05,2004-10-17
20,Susana,Reneke,6431535049,Female,SC07,2008-10-15
21,Alika,Dumbelton,0581478177,Female,SC03,2003-05-16
22,Loydie,Naisbet,1948027372,Male,SC05,2007-05-07
23,Fedora,Johncey,1841275867,Female,SC04,2000-08-07
24,Alexander,Benitez,1550499033,Male,SC05,2002-08-26
25,Brittni,Flook,7713126686,Female,SC07,2002-10-27
26,Mattias,Hofler,7518142457,Male,SC03,2008-08-22
27,Yurik,Ilchenko,0765817462,Male,SC04,2008-12-30
28,Lyell,Lefeuvre,8103385107,Male,SC07,2006-04-14
29,Mychal,Maffia,0490114903,Male,SC02,2008-02-03
30,Torey,Howorth,1959872524,Male,SC05,2006-01-19
31,Arri,Rachuig,2780373849,Male,SC01,2004-09-14
32,Nani,Gready,3280263433,Female,SC05,2007-08-04
33,Gregory,Doyley,2462658793,Male,SC02,2008-12-13
34,Evvy,Ivanyutin,1574776843,Female,SC06,2007-08-04
35,Arline,Sextie,5456374366,Female,SC02,2006-01-06
36,Pren,Pottiphar,5948632016,Male,SC08,2002-07-04
37,Georg,Koppeck,7130733764,Male,SC06,2008-04-03
38,Nichole,Peters,0578068710,Male,SC02,2007-11-15
39,Zach,Picopp,5519553238,Male,SC02,2005-11-02
40,Katalin,Beran,9163197693,Female,SC07,2008-11-13
41,Roderick,Trousdale,9475709126,Male,SC06,2010-09-17
42,Rozalie,Leary,5114968068,Female,SC01,2006-10-31
43,Carl,Antonchik,9781635096,Male,SC01,2010-10-25
44,Rickie,Witherow,1543420125,Male,SC07,2009-11-03
45,Coralyn,Hoofe,0176723285,Female,SC06,2004-01-07
46,Jason,Kubanek,8966771629,Male,SC07,2003-07-28
47,Cointon,Osinin,8268269383,Male,SC06,2003-03-12
48,Carver,Bang,6268785258,Male,SC06,2000-02-14
49,Therese,Skinley,7500512104,Female,SC04,2005-03-09
50,Viviana,Cullivan,5336249246,Female,SC01,2002-01-12
51,Consuela,Nudde,2208604881,Female,SC08,2002-01-17
52,Dalt,O'Kinneally,5699333517,Male,SC07,2008-06-19
53,Beverlie,Leversha,0559470584,Female,SC04,2009-02-27
54,Addi,Pullinger,0512855765,Female,SC01,2003-09-05
55,Viviana,Broz,6239800864,Female,SC06,2002-01-20
56,Milton,Jayme,1014902436,Male,SC03,2009-12-31
57,Tonia,Boddymead,4907261047,Female,SC01,2000-08-06
58,Noach,Vicar,4520099773,Male,SC04,2006-07-25
59,Emalia,Brockbank,6992635417,Female,SC03,2003-11-30
60,Marla,Gerrietz,6703475539,Female,SC08,2001-03-02
61,Sophronia,Mariolle,8445272802,Female,SC03,2001-03-26
62,Jess,Habbes,7931261712,Female,SC01,2000-05-18
63,Drud,Grumble,0908811853,Male,SC05,2005-05-31
64,Ward,Statton,5359259221,Male,SC04,2009-09-15
65,Brooke,Dreus,4455803092,Female,SC04,2004-05-13
66,Evey,O'Brogane,1745561587,Female,SC07,2008-04-18
67,Cully,Rubroe,7581860612,Male,SC06,2006-02-09
68,Nathanial,Whittuck,1871818419,Male,SC06,2003-04-29
69,Hattie,Lynnitt,1692361341,Female,SC02,2007-03-29
70,Hobie,Helleker,2236366027,Male,SC07,2004-03-23
71,Friedrich,Hartwell,3912349568,Male,SC07,2009-07-23
72,Jerald,Ackroyd,8108032687,Male,SC04,2005-01-03
73,Boyd,Sutliff,0729441555,Male,SC02,2006-03-30
74,Selene,Yakebovich,1932177434,Female,SC03,2008-03-20
75,Kelvin,Peete,2062921187,Male,SC03,2007-08-26
76,Pearline,Breedy,9827974785,Female,SC03,2000-09-18
77,Dane,Meach,6876311481,Male,SC07,2007-07-08
